Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,KC,AL,599,8,11,3.97,24,24,0,145.0,143,64,64,26,26,100,1.17
2005,KC,AL,829,5,17,5.80,33,33,0,183.0,233,125,118,23,53,114,1.56
2006,KC,AL,28,1,0,4.26,3,0,0,6.1,7,3,3,1,3,5,1.58
2007,KC,AL,507,7,7,3.69,52,14,1,122.0,122,52,50,12,36,106,1.30
2008,KC,AL,851,13,10,3.47,32,32,0,202.1,202,87,78,21,56,183,1.28
2009,KC,AL,915,16,8,2.16,33,33,0,229.1,195,64,55,11,51,242,1.07
2010,KC,AL,919,10,14,4.17,33,33,0,220.0,219,114,102,18,55,181,1.25
2011,MIL,NL,715,16,6,3.83,28,28,0,171.2,161,82,73,19,45,201,1.20
2012,MIL,NL,504,9,3,3.44,21,21,0,123.0,120,49,47,7,28,122,1.20
2012,LAA,AL,364,6,2,3.53,13,13,0,89.1,80,35,35,11,26,78,1.19
2012,2 Teams,,868,15,5,3.48,34,34,0,212.1,200,84,82,18,54,200,1.20
2013,LAD,NL,717,15,4,2.63,28,28,0,177.2,152,54,52,13,46,148,1.11
2014,LAD,NL,821,17,8,2.71,32,32,0,202.1,190,69,61,19,43,207,1.15
2015,LAD,NL,843,19,3,1.66,32,32,0,222.2,148,43,41,14,40,200,0.84
2016,AZ,NL,667,13,7,4.37,26,26,0,158.2,161,80,77,23,41,134,1.27
2017,AZ,NL,801,17,7,3.20,32,32,0,202.1,172,80,72,25,45,215,1.07
2018,AZ,NL,839,15,11,3.21,33,33,0,207.2,181,77,74,28,43,199,1.08
2019,AZ,NL,562,10,4,2.90,23,23,0,146.0,117,48,47,15,21,135,0.95
2019,HOU,AL,248,8,1,3.02,10,10,0,62.2,58,25,21,6,9,52,1.07
2019,2 Teams,,810,18,5,2.93,33,33,0,208.2,175,73,68,21,30,187,0.98
2020,HOU,AL,273,3,3,4.03,12,12,0,67.0,67,30,30,6,9,67,1.13
2021,HOU,AL,697,11,6,4.16,30,29,0,171.0,164,82,79,30,36,120,1.17
2022,KC,AL,585,4,9,3.68,26,26,0,137.0,157,65,56,14,27,73,1.34
